1stAVE,2016-06-01 23:45,0.176615,0.102555,0,12.4619,0,15,979
6MERCER,2016-06-01 23:45,0.090376,0.029157,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 23:30,0.185729,0.111068,0,12.4619,0,15,979
6MERCER,2016-06-01 23:30,0.093166,0.030557,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 23:15,0.203959,0.129176,0,12.4619,0,15,979
6MERCER,2016-06-01 23:15,0.110558,0.039721,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 23:00,0.211771,0.137386,0,12.4619,0,15,979
6MERCER,2016-06-01 23:00,0.105676,0.037064,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 22:45,0.214484,0.140301,0,12.4619,0,15,979
6MERCER,2016-06-01 22:45,0.126835,0.049125,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 22:30,0.230651,0.158365,0,12.4619,0,15,979
6MERCER,2016-06-01 22:30,0.11772,0.043751,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 22:15,0.229675,0.15724,0,12.4619,0,15,979
6MERCER,2016-06-01 22:15,0.160688,0.07172,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 22:00,0.249965,0.181513,0,12.4619,0,15,979
6MERCER,2016-06-01 22:00,0.151574,0.06521,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 21:45,0.262645,0.19765,0,12.4619,0,15,979
6MERCER,2016-06-01 21:45,0.135949,0.054788,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 21:30,0.26597,0.202005,0,12.4619,0,15,979
6MERCER,2016-06-01 21:30,0.158736,0.070298,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 21:15,0.289245,0.233944,0,12.4619,0,15,979
6MERCER,2016-06-01 21:15,0.12065,0.045447,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 21:00,0.277396,0.217366,0,12.4619,0,15,979
6MERCER,2016-06-01 21:00,0.122277,0.046402,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 20:45,0.293151,0.239554,0,12.4619,0,15,979
6MERCER,2016-06-01 20:45,0.129439,0.050712,0,13.1983,7.1,10,1009
1stAVE,2016-06-01 20:30,0.292609,0.23877,0,12.4619,0,15,979
