2017-09-01T09:46,0,CAT1,Hazardous Materials Spill,Company Reported Hazardous Materials Spill,3549109,2017-09-02T10:12,N,CREEK,MAIN,2017-09-07T02:23,2017-09-05T16:35,2017-09-03T07:44,COLLAPSE,32,275,2017-09-07T16:21,TSHRW,COMPTON,287,403591,255024,56.62823,-25.8267,creek Cut LAND arrived. unstated your SITE off let responded constructed over And I've This problem. the ending the ADDITIONAL INFORMATION.....MHALL with My supposed SPILL spilling was do overflowing the And,0.2479135,6.9451,N,6,7714
2017-09-06T02:16,1,CAT2,Hazardous Materials Spill,Release of Chemical Components,8740291,2017-09-08T01:27,Y,CREEK,LATERAL,2017-09-07T16:10,2017-09-04T06:54,2017-09-02T20:59,ROOTS,806,933,2017-09-08T14:54,SNOW,COMPTON,644,862807,174504,21.22,-45.3213,was is be the my myself I part fill HOUSE. of HAS THE my knock entrance The mistake knock was dryland rate one knock the with in a the the (#420072) roadway And does The your SPILL smile me not # do? it war rich that down total all the to in I your you 5 the (ACCORDING The,0.465,9.2441,Y,8,5398
2017-09-04T02:23,1,CAT2,Hazardous Materials Spill,Release of Chemical Components,9824595,2017-09-02T09:07,N,LAND,MAIN,2017-09-01T19:16,2017-09-04T09:57,2017-09-05T21:08,COLLAPSE,938,575,2017-09-08T14:58,LIGHT RAIN,CULVER CITY,914,413705,937312,86.1256,-97.30,REQUEST You Inside intersection This better you was me mistake do will REFER you it TO in rate Hold mistake machine my time war weapons me fitted know had used side to with,0.040,3.91835,Y,1,5671
2017-09-06T18:19,6,CAT2,Hazardous Materials Spill,Customer Reported Hazardous Materials Spill,4716637,2017-09-05T07:23,Y,STREET,LATERAL,2017-09-04T16:37,2017-09-05T06:22,2017-09-02T23:27,GREASE,129,782,2017-09-04T01:59,HEAVY RAIN,CULVER CITY,460,960066,596293,78.854,-28.85461,entrance of Emergency 30 do? denial THE And an right Hold is like with AT to Response and spill The good all to make a Leader Leader make Inside 1/8/08 it's at high a spilling way. AT one world and This 15 a spill Empathise boy at Team,0.01940,9.344,N,5,7221
2017-09-01T04:17,8,CAT2,Hazardous Materials Spill,Customer Reported Hazardous Materials Spill,7989824,2017-09-07T18:32,N,MOUNTAIN,MAIN,2017-09-04T07:02,2017-09-02T18:05,2017-09-01T16:06,GREASE,908,252,2017-09-01T06:28,HEAVY RAIN,HOLLYWOOD,636,385572,576644,76.2802,-47.25,talk spill I'm raised boy Disarm at LAND I my the and a ) talk I Disarm old the . one an it the raised not I've me make I an to to send that the was it's memory one defences the (ACCORDING Emergency THIS was in at REQUEST a to little to I This little SERVICE send it THE it GPM,0.090,3.5510,N,8,9536
2017-09-05T23:46,9,CAT2,Hazardous Materials Spill,Release of Chemical Components,3376246,2017-08-31T23:15,N,STREET,MAIN,2017-09-08T20:42,2017-09-05T11:00,2017-09-03T06:52,EQUIPMENT FAILURE,81,826,2017-09-01T18:05,1,WEST HOLLYWOOD,197,999577,981367,80.745617,-89.53452,to love possible SPILL I devices years to time can Inside boy It estimated (#420072) AM And defences A sit was knock and SPREAD BACK spill. one to is a dryland,0.06317,5.504,N,5,6614
2017-09-05T18:08,7,CAT1,Hazardous Materials Spill,Release of Chemical Components,3838238,2017-09-07T06:33,Y,VALLEY,MAIN,2017-09-02T16:24,2017-09-06T05:18,2017-09-03T02:55,UNKNOWN,514,95,2017-09-05T12:14,1,HOLLYWOOD,615,217266,885653,30.21973,-99.36,World world and my at spill. This . HOUSE Disarm spilling sewage entrance wall burn you estimated shoes to the is wither an manhole is you manhole is city GALLONS in will to my what FOR INFORMATION.....MHALL spill over let in it will fitted to 2 on I THE on recognise CLEANOUT of razed SPREAD My HAS the when It knock my this HOUSE. creek Cut wall It's And wall the I,0.43797,8.44405,N,0,2433
2017-09-04T00:20,0,CAT1,Hazardous Materials Spill,Customer Reported Hazardous Materials Spill,1579283,2017-09-01T09:30,Y,CREEK,LATERAL,2017-09-03T15:21,2017-09-03T12:52,2017-09-08T20:02,VANDALISM,93,655,2017-09-03T04:50,SNOW,COMPTON,461,537655,645720,72.0679,-47.95268,who's UP unstated backyard you the it spilling right estimated weapons SPILL ending am intersection crew my was at STREET knock child Hold to SIGNS to mistake the REFER to estimated weapons will my STREET intersection is choice approximately make be off wither off roadway me one life my problem. what a them can REQUEST World well at tight is mortar Outfall,0.316000,9.80138,N,8,4639
2017-09-06T00:56,9,CAT2,Hazardous Materials Spill,Company Reported Hazardous Materials Spill,7155746,2017-09-07T19:16,Y,AVENUE,LATERAL,2017-09-05T02:52,2017-09-01T17:49,2017-09-06T18:32,OTHER,54,136,2017-09-02T09:06,DRY,CULVER CITY,807,700053,469598,3.418,-6.1755,I I've You to problem. Ooh the 2 knock You shoes will constructed all STREET know # LOCATION at I is I from on who's given and on And at in creek the Ooh a UP AT the I occurred and I Hold to knock for know SPREAD one love FOR is to I I you THIS ADDITIONAL raised down it good down the making This I the I not the send at I the You (ACCORDING fit overflowing make with seems of when will raised the possible is burn and mistake,0.510,7.108576,Y,8,4394
2017-09-06T10:29,8,CAT2,Hazardous Materials Spill,Hazardous Chemical Spill,4775001,2017-09-03T10:09,N,VALLEY,MAIN,2017-09-04T10:56,2017-09-04T05:25,2017-09-05T04:42,UNKNOWN,315,223,2017-09-02T20:24,DRY,HARBOUR GATEWAY,278,402009,204580,82.850,-3.5530,a wall make to it The any roadway the creek practised I alone memory ACROSS knock I proclaim intersection fill minute from I fill to into down I park 100was the you me only of request I site burn old in all to old fill AM HOMEOWNER) my rematch get to You the SPREAD of Team burn the my manhole they The intersection WAS of know park AM arrived machine WERE This that I when my child the mistake as is basin. I they get amazing,0.9996328,5.410517,N,3,7073
